	book	sentence_length	sentence	sentence_index
12493	What The Ladybird Heard Next	22	Now the fat red hen with her thin brown legs Laid lots and lots of speckled eggs But then - oh help,	1
1350	The Enormous Crocodile	11	"""I have secret plans and clever tricks,” said the Croco dile."	83
3656	Gordon's Great Escape	11	She took him to the park to play on the swing.	13
11731	Jesus' Christmas Party	1	“There.	10
4560	Sir Charlie Stinky Socks and the Really Big Adventure	21	Inside the tower a windy, windy staircase didn't stop until it reached a little wooden door, right at the very top.	2
736	Mind Your Manners	2	It's delightful!	43
168	The Gruffalo	5	"“It’s Owl,"" said the mouse."	78
3325	Elmer and the Stranger	3	“I can’t jump.”	61
6843	Giraffe is Left Out	6	It was very hard to do.	51
2924	The Very Lazy Ladybird	9	Then the lazy ladybird had a very good idea.	5
6700	Lost and Found	9	They need some lunch so draw plenty of food.	32
12950	Elephant Learns to Share	6	He always kept everything for himself.	5
13124	One Snowy Night	9	“I knocked on the door but nobody heard me.”	97
772	The Princess and the Wizard	12	She turned herself into a yellow chick and hid in some straw.	34
5888	All About Feelings	23	Ash has gone very Sandeep won’t look at Maria's all jumpy and quiet, and he is anybody and wants to can't sit still.	41
353	Sing A Song Of Bottoms	7	I’ll tell you… Bats are the squeakiest.	32
1061	A Squash and a Squeeze	10	It was titchy for three and it’s teeny for four.	30
7391	Careful Santa!	12	“WHEEEEEE!” cried Santa, as he slid across the ice towards the duckhouse.	34
12609	The Pirates Next Door	8	“You ain t so had yerself, my lass.	36
9627	Father Christmas Needs A Wee	7	At number 1 ONE pup that RUNS!	22
11231	Farmer Duck	4	“How goes the work?”	22
10510	All For One	6	"""Can't I play anyway?"" pleaded Marlon."	23
1034	A Squash and a Squeeze	8	My house is a squash and a squeeze.”	3
2177	The Owl Who Was Afraid Of The Dark	4	“It’s getting-up time, Daddy!”	74
9705	Eleanor Won't Share	2	"“That's great!"""	57
10712	Squash the Spider	10	Billy snuggled under his covers and was soon fast asleep.	11
3837	Is It Betime Wibbly Pig	2	Wibbly Pig?	27
